,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,
,,,,  Consumer,,,,, Real ,, Real ,Earnings,,Earnings,,,Monthly,Real,,,
,S&P,,,Price,,Long,,, Total ,, TR ,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real, Return ,Real, Scaled ,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized 
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend, Price ,Earnings, Earnings ,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns
1875.08,4.41,0.31,0.39,11.23,1875.63,4.79,127.04,8.93,170.08,11.33,15.17,NA,,NA,,,1.01,1.48,10.46%,8.83%,1.63%
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,126.96,8.93,170.97,11.19,15.06,NA,,NA,,,1.01,1.5,10.44%,8.83%,1.61%
1875.1,4.3,0.31,0.38,11.13,1875.79,4.71,124.93,8.86,169.22,10.94,14.82,NA,,NA,,,1.01,1.51,11.23%,8.80%,2.43%
1875.11,4.37,0.3,0.37,11.04,1875.88,4.67,128.05,8.86,174.46,10.79,14.7,NA,,NA,,,1.01,1.53,11.50%,8.54%,2.96%
1875.12,4.37,0.3,0.36,10.94,1875.96,4.63,129.17,8.87,176.99,10.64,14.58,NA,,NA,,,1.01,1.56,11.04%,8.16%,2.88%
1876.01,4.46,0.3,0.35,10.85,1876.04,4.59,132.98,8.95,183.24,10.53,14.52,NA,,NA,,,1,1.58,10.95%,8.28%,2.67%
1876.02,4.52,0.3,0.35,10.85,1876.13,4.58,134.77,8.95,186.73,10.34,14.32,NA,,NA,,,1,1.59,11.00%,8.25%,2.75%
1876.03,4.51,0.3,0.34,10.85,1876.21,4.57,134.48,8.95,187.35,10.14,14.12,NA,,NA,,,1,1.6,10.90%,8.35%,2.55%
1876.04,4.34,0.3,0.33,10.75,1876.29,4.56,130.55,9.02,182.93,10.03,14.05,NA,,NA,,,1,1.62,11.19%,8.35%,2.84%
1876.05,4.18,0.3,0.33,10.37,1876.38,4.54,130.35,9.36,183.74,10.19,14.36,NA,,NA,,,1,1.69,11.24%,8.20%,3.04%
1876.06,4.15,0.3,0.32,10.09,1876.46,4.53,133.08,9.62,188.72,10.26,14.55,NA,,NA,,,1,1.74,11.62%,8.00%,3.62%
1876.07,4.1,0.3,0.31,10.09,1876.54,4.52,131.48,9.62,187.58,10.05,14.33,NA,,NA,,,1,1.75,11.76%,7.83%,3.93%
1876.08,3.93,0.3,0.31,10.18,1876.63,4.51,124.85,9.53,179.26,9.74,13.99,NA,,NA,,,1,1.74,12.25%,7.77%,4.48%
1876.09,3.69,0.3,0.3,10.28,1876.71,4.5,116.14,9.44,167.88,9.44,13.65,NA,,NA,,,1,1.74,13.32%,7.84%,5.48%
1876.1,3.67,0.3,0.29,10.47,1876.79,4.49,113.41,9.27,165.05,9.06,13.19,NA,,NA,,,1,1.71,13.84%,8.01%,5.83%
1876.11,3.6,0.3,0.29,10.56,1876.87,4.47,110.24,9.19,161.56,8.78,12.87,NA,,NA,,,1,1.71,14.39%,8.07%,6.32%
1876.12,3.58,0.3,0.28,10.75,1876.96,4.46,107.69,9.02,158.92,8.42,12.43,NA,,NA,,,1,1.68,14.18%,8.10%,6.08%
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,104.93,8.6,155.91,8.33,12.37,NA,,NA,,,1,1.66,14.04%,8.00%,6.04%
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,101.37,8.55,151.67,8.6,12.86,NA,,NA,,,1,1.71,14.18%,7.56%,6.61%
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,100.7,8.66,151.76,9.05,13.64,NA,,NA,,,1,1.8,14.47%,7.05%,7.43%
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,90.85,8.14,137.93,8.86,13.45,NA,,NA,,,1,1.76,15.87%,7.32%,8.56%
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,89.23,7.71,136.44,8.75,13.38,NA,,NA,,,1,1.74,16.23%,7.48%,8.75%
1877.06,2.73,0.25,0.29,10.09,1877.46,4.4,87.54,7.86,134.87,9.3,14.33,NA,,NA,,,1,1.84,16.21%,6.99%,9.21%
1877.07,2.85,0.24,0.29,10.18,1877.54,4.4,90.54,7.49,140.44,9.27,14.37,NA,,NA,,,1,1.83,15.63%,7.20%,8.43%
1877.08,3.05,0.23,0.29,9.8,1877.62,4.39,100.65,7.48,157.1,9.68,15.11,NA,,NA,,,1,1.91,13.96%,6.63%,7.32%
1877.09,3.24,0.22,0.3,9.7,1877.71,4.38,107.97,7.25,169.47,9.83,15.43,NA,,NA,,,1,1.94,13.13%,6.63%,6.50%
1877.1,3.31,0.21,0.3,9.7,1877.79,4.37,110.31,6.94,174.04,9.89,15.6,NA,,NA,,,1,1.95,12.35%,6.48%,5.87%
1877.11,3.26,0.2,0.3,9.51,1877.87,4.36,110.81,6.77,175.73,10.14,16.08,NA,,NA,,,1,2,12.37%,6.12%,6.25%
1877.12,3.25,0.19,0.3,9.51,1877.96,4.35,110.47,6.46,176.04,10.2,16.25,NA,,NA,,,1,2,12.07%,5.85%,6.22%
1878.01,3.25,0.19,0.3,9.23,1878.04,4.34,113.89,6.63,182.37,10.54,16.88,NA,,NA,,,1,2.08,11.67%,5.38%,6.30%
1878.02,3.18,0.19,0.3,9.13,1878.12,4.33,112.6,6.67,181.19,10.68,17.19,NA,,NA,,,1,2.11,11.85%,5.39%,6.46%
1878.03,3.24,0.19,0.3,8.94,1878.21,4.32,117.16,6.78,189.44,10.94,17.69,NA,,NA,,,1,2.16,10.97%,5.17%,5.80%
1878.04,3.33,0.19,0.3,8.85,1878.29,4.31,121.71,6.82,197.72,11.09,18.01,NA,,NA,,,1,2.19,10.71%,5.18%,5.53%
1878.05,3.34,0.19,0.3,8.56,1878.37,4.3,126.15,7.02,205.87,11.49,18.75,NA,,NA,,,1,2.28,10.59%,4.96%,5.63%
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,131.72,7.15,215.93,11.78,19.31,NA,,NA,,,1,2.34,9.89%,4.85%,5.04%
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,132.91,7.04,218.85,11.68,19.23,NA,,NA,,,1,2.32,9.94%,4.85%,5.09%
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,130.3,6.92,215.51,11.58,19.16,NA,,NA,,,1,2.31,10.38%,4.97%,5.42%
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,132.94,6.89,220.83,11.61,19.29,NA,,NA,,,1,2.32,10.42%,4.97%,5.46%
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,132.91,6.94,221.73,11.77,19.64,NA,,NA,,,1,2.35,10.23%,4.73%,5.50%
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,134.03,6.98,224.58,11.94,20.01,NA,,NA,,,1,2.39,9.77%,4.49%,5.28%
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,136.36,7.11,229.47,12.25,20.62,NA,,NA,,,1,2.46,9.37%,4.25%,5.11%
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,139.87,7.1,236.38,12.34,20.85,NA,,NA,,,1,2.44,9.68%,4.74%,4.94%
1879.02,3.71,0.18,0.32,8.37,1879.12,4.2,143.3,7.08,243.17,12.43,21.09,NA,,NA,,,1,2.42,9.66%,4.97%,4.69%
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,142.61,7.23,243.01,12.8,21.8,NA,,NA,,,1,2.46,9.61%,4.96%,4.66%
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,149.01,7.38,254.97,13.17,22.54,NA,,NA,,,1,2.5,9.10%,4.82%,4.29%
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,155.73,7.44,267.53,13.41,23.03,NA,,NA,,,1,2.52,9.18%,5.06%,4.12%
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,158.36,7.6,273.14,13.8,23.8,NA,,NA,,,1,2.56,9.17%,4.92%,4.26%
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,159.68,7.58,276.5,13.87,24.01,NA,,NA,,,1,2.54,8.85%,5.02%,3.83%
1879.08,4.07,0.19,0.36,8.18,1879.62,4.1,160.87,7.64,279.66,14.1,24.51,NA,,NA,,,1,2.55,8.91%,5.00%,3.91%
1879.09,4.22,0.2,0.36,8.47,1879.71,4.09,161.17,7.45,281.27,13.84,24.16,NA,,NA,,,1,2.48,9.01%,5.21%,3.80%
1879.1,4.68,0.2,0.37,8.94,1879.79,4.07,169.23,7.11,296.37,13.32,23.32,NA,,NA,,,1,2.36,8.28%,5.77%,2.51%
1879.11,4.93,0.2,0.37,9.42,1879.87,4.05,169.27,6.81,297.43,12.85,22.58,NA,,NA,,,1,2.25,8.18%,6.31%,1.87%
1879.12,4.92,0.2,0.38,9.7,1879.96,4.04,163.96,6.66,289.07,12.66,22.33,NA,,NA,,,1,2.19,8.33%,6.47%,1.86%
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,165.42,6.64,292.63,12.6,22.29,NA,,NA,,,1.01,2.14,8.62%,7.03%,1.59%
1880.02,5.2,0.21,0.4,9.99,1880.12,3.99,168.34,6.8,298.79,12.89,22.89,NA,,NA,,,1.01,2.15,8.31%,6.99%,1.33%
1880.03,5.3,0.22,0.41,10.09,1880.21,3.97,169.96,6.89,302.68,13.07,23.27,NA,,NA,,,1.01,2.14,8.13%,7.04%,1.08%
1880.04,5.18,0.22,0.42,9.7,1880.29,3.94,172.62,7.33,308.52,13.89,24.82,NA,,NA,,,1.01,2.24,8.18%,6.59%,1.59%
1880.05,4.77,0.23,0.43,9.42,1880.37,3.91,163.78,7.73,293.86,14.62,26.23,NA,,NA,,,1.01,2.32,9.07%,6.10%,2.97%
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,167.86,8.06,302.38,15.24,27.46,NA,,NA,,,1.01,2.38,8.71%,5.84%,2.87%
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,175.56,8.24,317.5,15.57,28.15,NA,,NA,,,1.01,2.39,8.14%,5.80%,2.34%
1880.08,5.19,0.24,0.45,9.23,1880.62,3.83,181.87,8.41,330.18,15.88,28.84,NA,,NA,,,1.01,2.41,7.11%,5.38%,1.73%
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,179.67,8.5,327.47,16.04,29.24,NA,,NA,,,1.01,2.4,6.93%,5.32%,1.61%
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,184.87,8.67,338.26,16.36,29.94,NA,,NA,,,1.01,2.41,6.13%,5.28%,0.85%
1880.11,5.61,0.26,0.48,9.42,1880.87,3.75,192.62,8.76,353.77,16.51,30.32,NA,,NA,,,1.01,2.4,5.15%,5.60%,-0.45%
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,198.51,8.84,365.95,16.66,30.7,NA,,NA,,,1.01,2.39,4.59%,5.66%,-1.08%
1881.01,6.19,0.27,0.49,9.42,1881.04,3.7,212.53,9.1,393.19,16.68,30.86,18.47,,24.14,,-1.05%,1,2.42,4.54%,5.65%,-1.11%
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,209.73,9.18,389.42,16.37,30.4,18.15,,23.66,,-1.14%,1,2.41,4.68%,5.62%,-0.94%
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,212.11,9.35,395.28,16.23,30.25,18.27,,23.77,,-1.31%,1,2.42,4.24%,5.49%,-1.25%
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,209.33,9.42,391.58,15.93,29.8,17.95,,23.31,,-0.75%,1,2.4,4.60%,5.46%,-0.87%
1881.05,6.5,0.29,0.47,9.51,1881.37,3.67,220.94,9.69,414.81,15.95,29.94,18.87,,24.46,,-0.89%,1,2.43,4.12%,5.48%,-1.36%
1881.06,6.58,0.29,0.47,9.51,1881.46,3.67,223.66,9.86,421.46,15.81,29.78,19.03,,24.62,,-0.77%,1,2.44,4.03%,5.73%,-1.70%
1881.07,6.35,0.3,0.46,9.61,1881.54,3.66,213.71,9.93,404.26,15.51,29.34,18.12,,23.4,,-0.40%,1,2.43,4.46%,5.96%,-1.50%
1881.08,6.2,0.3,0.46,9.8,1881.62,3.65,204.61,9.9,388.6,15.07,28.63,17.29,,22.29,,0.21%,1,2.39,5.26%,6.16%,-0.91%
1881.09,6.25,0.31,0.45,10.18,1881.71,3.65,198.55,9.69,378.63,14.37,27.41,16.72,,21.54,,0.56%,1,2.31,6.53%,6.69%,-0.17%
1881.1,6.15,0.31,0.45,10.28,1881.79,3.64,193.56,9.76,370.67,14.11,27.02,16.26,,20.93,,0.67%,1,2.29,6.79%,6.79%,0.00%
1881.11,6.19,0.32,0.44,10.18,1881.87,3.63,196.64,10.01,378.16,14.11,27.14,16.48,,21.19,,0.51%,1,2.32,6.58%,6.82%,-0.23%
1881.12,6.01,0.32,0.44,10.18,1881.96,3.63,190.92,10.17,368.8,13.98,27,15.96,,20.51,,0.49%,1,2.33,7.21%,6.81%,0.40%
1882.01,5.92,0.32,0.44,10.18,1882.04,3.62,188.06,10.17,364.91,13.95,27.07,15.68,,20.14,,0.61%,1,2.34,7.83%,7.08%,0.75%
1882.02,5.79,0.32,0.44,10.28,1882.12,3.62,182.23,10.07,355.22,13.79,26.89,15.15,,19.46,,0.92%,1,2.33,8.18%,7.17%,1.01%
1882.03,5.78,0.32,0.44,10.28,1882.21,3.62,181.92,10.07,356.24,13.77,26.96,15.09,,19.38,,0.80%,1,2.33,8.59%,7.45%,1.14%
1882.04,5.78,0.32,0.44,10.37,1882.29,3.62,180.25,9.98,354.6,13.62,26.79,14.92,,19.15,,0.75%,1,2.32,8.80%,7.68%,1.12%
1882.05,5.71,0.32,0.44,10.47,1882.37,3.62,176.45,9.89,348.75,13.47,26.62,14.57,,18.7,,1.00%,1,2.3,9.02%,7.77%,1.25%
1882.06,5.68,0.32,0.44,10.56,1882.46,3.62,173.94,9.8,345.4,13.32,26.45,14.33,,18.39,,1.27%,1,2.29,9.10%,7.85%,1.25%
1882.07,6,0.32,0.43,10.47,1882.54,3.63,185.41,9.89,369.82,13.42,26.76,15.24,,19.56,,0.91%,1,2.32,8.11%,7.46%,0.65%
1882.08,6.18,0.32,0.43,10.56,1882.62,3.63,189.25,9.8,379.11,13.27,26.58,15.53,,19.91,,0.80%,1,2.3,7.89%,7.41%,0.49%
1882.09,6.24,0.32,0.43,10.28,1882.71,3.63,196.39,10.07,395.1,13.61,27.38,16.08,,20.62,,0.24%,1,2.37,7.21%,7.10%,0.11%
1882.1,6.07,0.32,0.43,10.18,1882.79,3.63,192.83,10.17,389.63,13.71,27.71,15.76,,20.19,,0.49%,1,2.4,7.62%,6.99%,0.62%
1882.11,5.81,0.32,0.43,10.09,1882.87,3.63,186.31,10.26,378.19,13.81,28.04,15.19,,19.47,,0.35%,1,2.43,7.66%,6.61%,1.05%
1882.12,5.84,0.32,0.43,9.99,1882.96,3.63,189.06,10.36,385.51,13.92,28.39,15.38,,19.7,,0.32%,1,2.46,7.24%,6.37%,0.88%
1883.01,5.81,0.32,0.43,9.99,1883.04,3.63,188.08,10.39,385.3,13.84,28.35,15.27,,19.56,,0.36%,1,2.47,7.08%,5.97%,1.12%
1883.02,5.68,0.32,0.43,10.09,1883.12,3.63,182.14,10.32,374.89,13.63,28.05,14.76,,18.9,,0.47%,1,2.45,7.10%,5.94%,1.15%
1883.03,5.75,0.32,0.42,9.99,1883.21,3.63,186.14,10.44,384.91,13.68,28.28,15.05,,19.27,,0.25%,1,2.49,6.72%,6.10%,0.61%
